CustomerID,Lookalikes
C0001,"[('C0190', 0.8796423266455203), ('C0048', 0.8769537968178235), ('C0091', 0.8754655145194616)]"
C0002,"[('C0159', 0.9441278149281348), ('C0134', 0.9416161456334107), ('C0106', 0.9261717190962915)]"
C0003,"[('C0031', 0.9877356807511356), ('C0158', 0.9739830518165019), ('C0129', 0.9113207796343697)]"
C0004,"[('C0113', 0.9312975349644187), ('C0012', 0.8945347948676057), ('C0104', 0.8654405776870046)]"
C0005,"[('C0007', 0.9952252316883224), ('C0140', 0.947026115549941), ('C0146', 0.9409945105463504)]"
C0006,"[('C0187', 0.9062941720233189), ('C0137', 0.808575766167951), ('C0011', 0.7840878701811569)]"
C0007,"[('C0005', 0.9952252316883224), ('C0146', 0.9420729184138663), ('C0140', 0.9396567671260396)]"
C0008,"[('C0059', 0.8666300549051941), ('C0098', 0.8307031440606039), ('C0194', 0.8048189669000053)]"
C0009,"[('C0198', 0.9505737012600578), ('C0062', 0.9098177559992846), ('C0061', 0.8928440547903221)]"
C0010,"[('C0061', 0.9486751752485325), ('C0111', 0.880777729256191), ('C0062', 0.8689210025126796)]"
C0011,"[('C0126', 0.9554980096344821), ('C0153', 0.891517241412429), ('C0191', 0.8855453287778218)]"
C0012,"[('C0104', 0.9443293395891174), ('C0004', 0.8945347948676057), ('C0113', 0.887801872468904)]"
C0013,"[('C0102', 0.8891211033950587), ('C0188', 0.8798310547778916), ('C0184', 0.846997673183243)]"
C0014,"[('C0060', 0.9995506142873015), ('C0089', 0.9091649031495289), ('C0198', 0.8986672489715922)]"
C0015,"[('C0036', 0.9465171000626319), ('C0131', 0.9409101200731483), ('C0144', 0.9216605620492222)]"
C0016,"[('C0183', 0.9999871946282067), ('C0067', 0.92133597466655), ('C0072', 0.9093926132862484)]"
C0017,"[('C0075', 0.9601890692178561), ('C0041', 0.9162086800522647), ('C0057', 0.8665795834084146)]"
C0018,"[('C0125', 0.8648775776378511), ('C0122', 0.8220228685450796), ('C0035', 0.8147118075241001)]"
C0019,"[('C0070', 0.893216415112524), ('C0064', 0.854534432894868), ('C0023', 0.8307026476160488)]"
C0020,"[('C0058', 0.9397305333768227), ('C0033', 0.9379257145104201), ('C0015', 0.8972483563940029)]"
